Id,norm.WT_SeedCoat_1,norm.WT_SeedCoat_2,norm.WT_SeedCoat_3,norm.WT_SeedCoat_4,norm.T_SeedCoat_1,norm.T_SeedCoat_2,norm.T_SeedCoat_3,norm.T_SeedCoat_4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012200.1,0,0,0,1,5,0,0,2
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012300.1,74,91,82,155,59,181,136,82
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012400.1,15,1,4,8,0,3,16,7
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012500.1,25,1,0,0,11,12,0,84
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012600.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.1,0,0,0,12,51,0,72,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.3,11,29,8,0,0,8,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.4,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.5,0,0,40,0,0,0,10,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.6,10,0,0,0,0,0,74,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.7,10,55,0,3,0,4,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.8,361,302,105,141,0,323,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.9,26,62,55,57,0,23,50,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012800.1,11,2,2,6,7,7,5,53
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012900.1,512,460,328,350,638,592,553,344
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013000.1,681,1086,1135,1064,1211,882,1199,430
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.1,16,2,11,12,44,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.2,24,28,32,49,0,0,6,109
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.3,69,0,0,0,0,31,52,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.4,0,0,0,0,0,11,9,92
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.5,20,47,23,22,56,44,0,264
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013200.1,2582,2062,2131,2256,1921,2194,2085,2528
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013300.1,1,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013400.1,11,12,0,3,4,5,9,15
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013500.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013600.1,0,1,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013700.1,136,280,131,168,113,109,220,151
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013800.1,224,316,200,218,352,250,410,154
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013900.1,66,57,42,68,111,0,45,114
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013900.2,9,6,4,4,0,45,15,18
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013900.3,271,235,186,221,292,207,270,424
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.1,0,0,0,16,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.3,112,0,0,0,1000,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.4,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.5,0,19,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.6,0,48,0,0,0,0,24,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.7,49,54,80,79,0,91,0,51
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014100.1,39,22,15,7,0,0,12,919
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014100.2,15,3,7,21,3,28,0,40
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014200.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014200.2,0,7,0,0,5,20,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014300.1,10747,5115,3261,3246,7310,7117,3982,9418
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014400.1,208,271,173,170,163,132,293,221
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014500.1,22,36,31,29,54,46,24,33
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014600.1,183,231,262,221,174,133,175,204
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014600.2,46,37,93,70,29,53,81,56
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014700.1,4,2,9,7,40,0,7,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014800.1,92,64,0,0,94,85,57,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014800.2,0,36,32,45,21,0,4,30
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014900.1,5,6,0,8,11,4,2,10
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015000.1,64,40,20,31,17,62,32,69
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015100.1,0,0,0,0,0,0,0,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015200.1,38,117,36,36,2,91,45,23
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015300.1,0,0,0,0,0,0,0,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015400.1,261,131,170,118,230,190,97,387
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015500.1,4,4,2,1,0,1,0,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015600.1,10,4,6,0,0,0,0,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015600.2,98,556,775,845,395,239,605,47
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015700.1,0,0,3,0,10,5,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015700.2,1,2,0,4,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015800.1,0,0,0,0,0,0,0,4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015900.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016000.1,376,217,784,495,547,419,441,17
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016000.2,121,99,190,172,150,138,75,32
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016100.1,14,0,0,7,0,0,0,52
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016100.2,51,49,72,86,30,56,36,318
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016200.1,139,79,75,127,124,73,61,233
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016300.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016400.1,883,3281,3513,5620,1641,2678,6832,5
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016500.1,145,203,122,182,0,0,142,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016500.2,0,0,56,0,114,0,28,0
